cardiac cycle [%],t abs [s],t [s],ECG [mV],AoP [mmHg],LVP [mmHg],LAD Flow [mL/s],AoP/Flow,Pao/PLV,rad strain,circ strain,long strain,tissue vol ischemic [ml],tissue vol border [ml],tissue vol remote [ml]
0.57,0.402188,0.529547,0.624,101.706,4.246,59.606,1.7,24.0,0.031834736,-0.040672197,-0.01950021,0.676202,0.801755,0.955006
0.58,0.408891,0.53625,0.638,101.067,4.671,59.114,1.7,21.6,0.027744973,-0.033359867,-1.85E-02,0.681668,0.803031,0.956078
0.59,0.415594,0.542953,0.642,100.427,5.308,58.621,1.7,18.9,0.025848287,-0.026558116,-1.58E-02,0.687947,0.806017,0.958428
0.60,0.422297,0.549656,0.621,100.001,6.157,58.128,1.7,16.2,0.024313766,-0.020036428,-0.013248239,0.692962,0.808628,0.963368
0.61,0.429,0.556359,0.642,99.148,5.52,57.143,1.7,18.0,0.022588502,-0.016362492,-0.012176187,0.696998,0.812319,0.969224
0.62,0.435703,0.563062,0.628,98.508,5.732,56.651,1.7,17.2,0.021520832,-0.015229816,-0.011034484,0.700673,0.814651,0.972277
0.63,0.442407,0.569766,0.635,97.442,5.732,56.651,1.7,17.0,0.020905091,-0.015267088,-0.010163796,0.700817,0.816694,0.973429
0.64,0.44911,0.576469,0.631,96.802,5.732,56.158,1.7,16.9,0.021141646,-0.016644995,-0.009431562,0.700917,0.817099,0.972812
0.65,0.455813,0.583172,0.624,96.163,5.732,55.665,1.7,16.8,0.021454459,-0.017853338,-0.008751336,0.699502,0.816512,0.972762
0.66,0.462516,0.589875,0.642,95.097,5.52,55.665,1.7,17.2,0.021774848,-0.01877597,-0.0081511,0.698095,0.816059,0.972487
0.67,0.469219,0.596578,0.617,94.244,5.52,54.188,1.7,17.1,0.021565936,-0.018751021,-0.007728444,0.69799,0.816424,0.973077
0.68,0.475922,0.603281,0.635,93.391,5.52,53.695,1.7,16.9,0.020779923,-0.019835259,-0.007035158,0.696941,0.8161,0.972901
0.69,0.482625,0.609984,0.631,92.964,5.52,53.695,1.7,16.8,0.01983744,-0.020959228,-0.006788974,0.696446,0.815942,0.972464
0.70,0.489328,0.616687,0.628,92.538,5.52,52.71,1.8,16.8,0.019299363,-0.022011328,-0.006757456,0.695935,0.815218,0.972554
0.70,0.496032,0.623391,0.642,91.472,5.095,52.71,1.7,18.0,0.019023946,-0.023171546,-0.006653585,0.6955,0.815187,0.972475
0.71,0.502735,0.630094,0.624,91.045,5.308,51.724,1.8,17.2,0.018845106,-0.024694415,-0.006434681,0.69421,0.815259,0.974046
0.72,0.509438,0.636797,0.638,90.406,5.308,51.724,1.7,17.0,0.018463973,-0.026136505,-0.006139104,0.694243,0.815423,0.97364
0.73,0.516141,0.6435,0.635,90.193,5.308,51.232,1.8,17.0,0.018105372,-0.02764417,-0.005769295,0.693696,0.815254,0.973982
0.74,0.522844,0.650203,0.621,89.553,5.52,51.232,1.7,16.2,0.017872975,-0.028516324,-0.004891104,0.693267,0.816068,0.974513
0.75,0.529547,0.656906,0.646,89.126,5.308,51.232,1.7,16.8,0.017533782,-0.028482169,-0.004372666,0.692769,0.81537,0.974608
0.76,0.53625,0.663609,0.631,88.7,5.52,50.739,1.7,16.1,0.017163864,-0.028346289,-0.003843411,0.693673,0.815499,0.974028
0.77,0.542953,0.670312,0.642,88.274,5.732,50.247,1.8,15.4,0.017019908,-0.028088638,-0.003251943,0.693783,0.81552,0.974064
